Multiprocess type:  no
         4667601 function calls (4482113 primitive calls) in 3655.651 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 threading.py:540(wait)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      202    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 threading.py:270(wait)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 enum.py:500(<listcomp>)
     2052    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       92    0.000    0.000    0.000    0.000 utils.py:272(_is_ascii)
        3    0.000    0.000    0.000    0.000 gettext.py:735(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:660(dgettext)
        3    0.000    0.000    0.000    0.000 gettext.py:579(translation)
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
      317    0.000    0.000    0.000    0.000 function_base.py:469(_add_docstring)
       50    0.000    0.000    0.000    0.000 core.py:131(get_object_signature)
        3    0.000    0.000    0.000    0.000 gettext.py:538(find)
      918    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       49    0.000    0.000    0.000    0.000 std.py:102(acquire)
      459    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 ansitowin32.py:72(AnsiToWin32)
      153    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      415    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      221    0.000    0.000    0.000    0.000 std.py:231(__call__)
      108    0.000    0.000    0.000    0.000 re.py:188(match)
      941    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 __init__.py:70(search_function)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        1    0.000    0.000    0.000    0.000 wintypes.py:2(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6832(__init__)
        1    0.000    0.000    0.000    0.000 std.py:245(tqdm)
        4    0.000    0.000    0.000    0.000 argparse.py:1337(add_argument)
       26    0.000    0.000    0.000    0.000 core.py:6837(getdoc)
       49    0.000    0.000    0.000    0.000 std.py:106(release)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      146    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     1324    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
